id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
41;de_Vinagre;Vinagre;0,00;21.500,00;8.200,00;0,00;35.300,00;0,00;288.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104.707,00;0,00;0,00;0,00;0,00;0,00;0,00;45.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.817,00;0,00;0,00;0,00;53.776,00;25.800,00;5.000,00;25.319,00;25.367,00;76.096,00;10.000,00;7.500,00;16.200,00;9.000,00
42;de_Borra líquida;Borra líquida;3.847.673,00;3.565.644,00;3.015.037,00;3.559.922,00;5.136.979,00;4.624.839,00;3.393.173,00;0,00;0,00;0,00;0,00;3.767.852,00;0,00;0,00;0,00;5.095.798,00;6.357.648,00;5.142.446,00;1.953.488,00;2.426.804,00;1.282.381,00;1.649.130,00;1.400.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.626.928,00;8.216.162,00;8.541.861,00;3.126.172,00;1.044.490,00;526.016,00;57.333,00;2.095.873,00;1.679.775,00;0,00;64.304,00;0,00;0,00;63.111,00;50.954,00;48.833,00;24.975,00;0,00;255.100,00;901.431,00;509.378,00;116.450,00;0,00;758.140,00
43;de_Borra seca;Borra seca;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;149.981,00;0,00;0,00;78.397,00;142.850,00;120.230,00;82.367,00;0,00;70.480,00;25.996,00;167.587,00;16.789,00;0,00;17.200,00
44;de_Vinho Composto;Vinho Composto;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;160.000,00;0,00;0,00
45;de_Pisco;Pisco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.372,00;1.000,00;0,00;0,00;0,00
46;de_Vinho orgânico;Vinho orgânico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;254.000,00;171.147,00;219.100,00;15.000,00;85.000,00;0,00;137.000,00;0,00;0,00;4.745.442,00;2.454.500,00;351.426,00;4.997.317,00;3.265.781,00;8.592.228,00;0,00;0,00;6.705.487,00;7.584.380,00;0,00;0,00;22.933,00;307.410,00;15.000,00;0,00;0,00;5.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.700,00;93.884,00;88.890,00;94.150,00
47;de_Espumante orgânico;Espumante orgânico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.412,00;0,00;1.365,00
48;de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00;3.000,00;4.300,00;0,00
49;de_Vinho acidificado ;Vinho acidificado ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;65.000,00;0,00;0,00;2.500,00
50;de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;543.510,00;0,00;0,00
51;de_Outros derivados;Outros derivados;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;322,00;247.228,00;652.301,00
