id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
36;ti_Malbec;Malbec;4.097,00;4.884,00;0,00;200,00;6.167,00;2.012,00;1.992,00;2.219,00;2.228,00;2.017,00;0,00;12.745,00;14.466,00;18.205,00;22.839,00;39.347,00;23.431,00;10.121,00;64.701,00;37.043,00;69.305,00;50.169,00;125.463,00;63.531,00;85.941,00;58.659,00;205.117,00;63.518,00;12.977,00;43.135,00;105.730,00;45.079,00;65.886,00;69.353,00;98.686,00;133.965,00;148.733,00;399.928,00;414.138,00;393.256,00;318.059,00;636.608,00;629.019,00;590.041,00;616.160,00;624.096,00;267.885,00;740.327,00;628.780,00;0;493.966,00;8.502.206,00;0;584.140,67
37;ti_Marzemina;Marzemina;62.546,00;66.569,00;138.699,00;49.930,00;136.790,00;132.188,00;129.224,00;132.412,00;94.683,00;191.801,00;91.706,00;108.290,00;88.008,00;115.906,00;231.695,00;352.748,00;159.440,00;162.480,00;244.605,00;203.600,00;143.957,00;106.385,00;105.326,00;93.335,00;84.677,00;55.191,00;49.350,00;42.699,00;1.390,00;0,00;7.765,00;12.261,00;25.121,00;11.607,00;8.303,00;16.200,00;9.185,00;0,00;0,00;0,00;0,00;5.460,00;0,00;0,00;4.180,00;750,00;0,00;0,00;0,00;0;0,00;0,00;0;390,00
38;ti_Merlot;Merlot;185.596,00;164.533,00;198.870,00;263.765,00;1.050.036,00;1.409.406,00;1.538.351,00;2.257.565,00;2.793.801,00;3.240.761,00;1.907.623,00;4.618.249,00;5.762.774,00;3.099.201,00;4.939.522,00;6.965.153,00;4.775.740,00;4.310.762,00;6.278.832,00;6.258.967,00;6.440.525,00;4.275.871,00;5.014.804,00;4.827.232,00;5.881.174,00;4.320.777,00;4.230.298,00;5.443.902,00;3.188.079,00;5.071.616,00;6.223.276,00;4.962.355,00;5.836.525,00;6.826.491,00;9.886.980,00;10.632.174,00;8.449.561,00;11.399.362,00;11.866.618,00;8.876.279,00;6.179.006,00;12.510.489,00;9.645.204,00;10.179.782,00;7.846.034,00;8.030.882,00;3.286.035,00;8.309.646,00;6.257.492,00;0;6.010.486,00;494.356,00;0;7.179.442,11
39;ti_Marselan;Marselan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.868,00;66.815,00;109.574,00;181.823,00;228.360,00;200.025,00;339.023,00;261.314,00;345.504,00;404.323,00;411.105,00;205.095,00;385.945,00;384.278,00;0;449.156,00;154.348,00;0;988.859,85
40;ti_Mistura de uvas viníferas tinto ;Mistura de uvas viníferas tinto ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;700,00
41;ti_Molinera;Molinera;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;692,00;650,00;100,00;1.080,00;990,00;1.009,00;1.023,00;1.080,00;324,00;1.480,00;1.900,00;0;2.198,00;569,00;0;2.600,00
42;ti_Montepulciano;Montepulciano;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.721,00;21.150,00;24.390,00;30.820,00;34.060,00;21.190,00;17.959,00;21.115,00;27.678,00;41.888,00;26.280,00;25.640,00;13.330,00;28.008,00;23.306,00;0;22.968,00;28.485,00;0;42.503,00
43;ti_Moscato Bailey;Moscato Bailey;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152.136,00;0;206.348,00;3.541.181,00;0;170.188,25
44;ti_Napa Gamay;Napa Gamay;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;107.495,00;9.665,00;0,00;0,00;102.650,00;57.830,00;193.570,00;149.800,00;194.760,00;283.550,00;258.640,00;254.730,00;348.190,00;270.240,00;238.000,00;216.540,00;290.790,00;248.160,00;136.760,00;39.250,00;265.240,00;225.660,00;114.690,00;175.040,00;179.050,00;74.640,00;0,00;31.410,00;86.650,00;55.550,00;16.380,00;8.970,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
45;ti_Nebbiolo;Nebbiolo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;700,00;1.400,00;0,00;600,00;0,00;0,00;0,00;357,00;4.000,00;6.454,00;0,00;28.600,00;226.893,00;200.187,00;0,00;0,00;16.293,00;89.670,00;13.639,00;12.305,00;0,00;80,00;0,00;0,00;4.000,00;4.664,00;6.671,00;11.082,00;13.971,00;10.019,00;14.148,00;11.986,00;21.342,00;37.530,00;9.327,00;7.223,00;12.754,00;3.117,00;5.494,00;9.236,00;0;8.642,00;254.738,00;0;26.788,00
